Casos,Óbitos,Estação,Cidade,2a_dose,População estimada 2021,Estabelecimentos de Saúde 2021,Casos/10k,Óbitos/10k,Vacinados/10k,Estabelecimentos/10k
23,0,4,Messias,4329,18201,12,12.64,0.00,2378.44,6.59
7,0,4,Minador do Negrão,1529,5315,6,13.17,0.00,2876.76,11.29
2,1,4,Monteirópolis,2342,7171,10,2.79,1.39,3265.93,13.95
5,2,4,Murici,5418,28428,16,1.76,0.70,1905.87,5.63
8,1,4,Novo Lino,1839,12837,10,6.23,0.78,1432.58,7.79
59,0,4,Olho d'Água das Flores,5422,21690,14,27.20,0.00,2499.77,6.45
1,0,4,Olho d'Água do Casado,2240,9507,5,1.05,0.00,2356.16,5.26
1,0,4,Olho d'Água Grande,1145,5133,8,1.95,0.00,2230.66,15.59
4,1,4,Olivença,2829,11681,8,3.42,0.86,2421.88,6.85
27,1,4,Ouro Branco,3228,11573,9,23.33,0.86,2789.25,7.78
8,0,4,Palestina,1066,5061,5,15.81,0.00,2106.30,9.88
177,2,4,Palmeira dos Índios,17166,73452,90,24.10,0.27,2337.04,12.25
15,2,4,Pão de Açúcar,6238,24307,26,6.17,0.82,2566.34,10.70
11,2,4,Pariconha,2121,10546,17,10.43,1.90,2011.19,16.12
9,1,4,Paripueira,4433,13484,11,6.67,0.74,3287.60,8.16
7,0,4,Passo de Camaragibe,3398,15270,14,4.58,0.00,2225.28,9.17
15,0,4,Paulo Jacinto,1504,7556,7,19.85,0.00,1990.47,9.26
14,4,4,Penedo,16714,64005,95,2.19,0.62,2611.36,14.84
6,0,4,Piaçabuçu,5259,17868,18,3.36,0.00,2943.25,10.07
124,1,4,Pilar,9674,35310,22,35.12,0.28,2739.73,6.23
3,0,4,Pindoba,579,2903,4,10.33,0.00,1994.49,13.78
8,3,4,Piranhas,6914,25324,30,3.16,1.18,2730.22,11.85
9,2,4,Poço das Trincheiras,2760,14447,16,6.23,1.38,1910.43,11.07
5,1,4,Porto Calvo,5730,27331,25,1.83,0.37,2096.52,9.15
0,1,4,Porto de Pedras,1337,7618,10,0.00,1.31,1755.05,13.13
7,1,4,Porto Real do Colégio,5329,20158,17,3.47,0.50,2643.62,8.43
19,1,4,Quebrangulo,3612,11202,12,16.96,0.89,3224.42,10.71
108,11,4,Rio Largo,26269,75662,47,14.27,1.45,3471.89,6.21
1,0,4,Roteiro,2068,6634,6,1.51,0.00,3117.27,9.04
3,0,4,Santa Luzia do Norte,1894,7344,7,4.08,0.00,2578.98,9.53
24,5,4,Santana do Ipanema,13466,47910,57,5.01,1.04,2810.69,11.90
0,0,4,Santana do Mundaú,3560,10637,10,0.00,0.00,3346.81,9.40
1,0,4,São Brás,1879,6977,10,1.43,0.00,2693.13,14.33
2,0,4,São José da Laje,6813,24064,19,0.83,0.00,2831.20,7.90
9,1,4,São José da Tapera,8119,32462,21,2.77,0.31,2501.08,6.47
16,0,4,São Luís do Quitunde,6954,34825,23,4.59,0.00,1996.84,6.60
48,8,4,São Miguel dos Campos,14846,62328,48,7.70,1.28,2381.92,7.70
9,0,4,São Miguel dos Milagres,2176,8073,6,11.15,0.00,2695.40,7.43
2,0,4,São Sebastião,10266,34424,42,0.58,0.00,2982.22,12.20
26,0,4,Satuba,4442,14042,15,18.52,0.00,3163.37,10.68
6,1,4,Senador Rui Palmeira,3000,13893,8,4.32,0.72,2159.36,5.76
1,1,4,Tanque d'Arca,1615,6115,5,1.64,1.64,2641.05,8.18
26,2,4,Taquarana,6283,20162,24,12.90,0.99,3116.26,11.90
17,2,4,Teotônio Vilela,11451,44570,46,3.81,0.45,2569.22,10.32
10,0,4,Traipu,6041,27934,17,3.58,0.00,2162.60,6.09
126,0,4,União dos Palmares,15875,65963,52,19.10,0.00,2406.65,7.88
9,1,4,Viçosa,6355,25655,24,3.51,0.39,2477.10,9.35
