Município,Código [-],População estimada 2021,Densidade demografica 2021,IDHM_2010,Estabelecimentos de Saúde 2021,Estabelecimentos/10k_habitantes,Óbitos totais,2a_dose,Óbitos/10k_habitantes,Vacinados/10k_habitantes
Palestina,2706208,5061,132.53,558,5,9.88,4,3411,7.90,6739.77
Palmeira dos Índios,2706307,73452,162.87,638,90,12.25,169,47656,23.01,6488.05
Pão de Açúcar,2706406,24307,35.29,593,26,10.70,10,15601,4.11,6418.32
Pariconha,2706422,10546,41.40,548,17,16.12,28,8048,26.55,7631.33
Paripueira,2706448,13484,145.32,605,11,8.16,23,9399,17.06,6970.48
Passo de Camaragibe,2706505,15270,60.77,533,14,9.17,16,8181,10.48,5357.56
Paulo Jacinto,2706604,7556,63.79,589,7,9.26,90,4952,119.11,6553.73
Penedo,2706703,64005,92.97,0.63,95,14.84,23,39006,3.59,6094.21
Piaçabuçu,2706802,17868,73.32,572,18,10.07,62,11189,34.70,6262.03
Pilar,2706901,35310,136.01,0.61,22,6.23,2,24452,0.57,6924.95
Pindoba,2707008,2903,24.79,574,4,13.78,27,1595,93.01,5494.32
Piranhas,2707107,25324,62.68,589,30,11.85,49,16939,19.35,6688.91
Poço das Trincheiras,2707206,14447,50.82,526,16,11.07,21,7223,14.54,4999.65
Porto Calvo,2707305,27331,87.26,586,25,9.15,15,14088,5.49,5154.59
Porto de Pedras,2707404,7618,29.63,541,10,13.13,12,4159,15.75,5459.44
Porto Real do Colégio,2707503,20158,85.47,551,17,8.43,31,14110,15.38,6999.70
Quebrangulo,2707602,11202,35.02,559,12,10.71,15,8352,13.39,7455.81
Rio Largo,2707701,75662,257.51,643,47,6.21,185,56012,24.45,7402.92
Roteiro,2707800,6634,51.46,505,6,9.04,14,4372,21.10,6590.29
Santa Luzia do Norte,2707909,7344,254.50,597,7,9.53,9,5255,12.25,7155.50
Santana do Ipanema,2708006,47910,109.41,591,57,11.90,109,30879,22.75,6445.21
Santana do Mundaú,2708105,10637,45.82,519,10,9.40,19,8504,17.86,7994.74
São Brás,2708204,6977,50.18,572,10,14.33,40,4737,57.33,6789.45
São José da Laje,2708303,24064,93.78,573,19,7.90,13,13972,5.40,5806.18
São José da Tapera,2708402,32462,65.96,527,21,6.47,4,20735,1.23,6387.47
São Luís do Quitunde,2708501,34825,87.66,536,23,6.60,32,16232,9.19,4661.02
São Miguel dos Campos,2708600,62328,185.68,623,48,7.70,43,35000,6.90,5615.45
São Miguel dos Milagres,2708709,8073,105.21,591,6,7.43,27,4996,33.44,6188.53
São Sebastião,2708808,34424,109.31,549,42,12.20,107,23584,31.08,6851.03
Satuba,2708907,14042,340.26,0.66,15,10.68,16,9681,11.39,6894.32
Senador Rui Palmeira,2708956,13893,40.62,518,8,5.76,39,7825,28.07,5632.33
Tanque d'Arca,2709004,6115,49.07,555,5,8.18,12,4584,19.62,7496.32
Taquarana,2709103,20162,131.06,541,24,11.90,27,14419,13.39,7151.57
Teotônio Vilela,2709152,44570,148.95,564,46,10.32,72,26932,16.15,6042.63
Traipu,2709202,27934,40.98,532,17,6.09,27,15702,9.67,5621.11
União dos Palmares,2709301,65963,156.91,593,52,7.88,100,37786,15.16,5728.36
Viçosa,2709400,25655,69.74,586,24,9.35,41,15977,15.98,6227.64
